# 现代汉语音节汇总（含声调）
# 共有1503个音节。
# 说明
#
# 拼音来自本文件中其他文件统计汇总，但是：
# - lün ㄌㄩㄣ，nia ㄋㄧㄚ，shong ㄕㄨㄥ，diang ㄉㄧㄤ等未出现在词典或编码规范中的，本文件不列入；
# - gie，giao，duang等网络用语、缺少对应汉字的纯拟声词，本文件不列入。
# - nèng 缺少例字（“濘”读音为nìng，少量资料中也注音为nèng，存疑）
#
# 字段备注：
# 注音：一般，竖排中使用“ㄧ”，横排中使用“丨”。
# 例字：优先选择常用字，其中部分为多音字。
# 状态：※为两岸词典都收录此音（1276个）；‽为词典暂无此音，如biáng 𰻝、fiào 覅（106个）；其余为某一词典收录，如tēi 忒（121个）。
# 字数统计，根据网络数据汇总得到，仅供参考；
# - 字数1:《现代汉语词典》（第7版）；
# - 字数2:《重編國語辭典》（修訂本）。
#
# 拼音声调	拼音数字	注音	注音（横排）	例字	字数1	字数2	状态

chōu	chou1	ㄔㄡ		抽	5	7	※
chóu	chou2	ㄔㄡˊ		绸	14	21	※
chǒu	chou3	ㄔㄡˇ		丑	5	5	※
chòu	chou4	ㄔㄡˋ		臭	2	3	※
chū	chu1	ㄔㄨ		初	6	4	※
chú	chu2	ㄔㄨˊ		除	13	18	※
chǔ	chu3	ㄔㄨˇ		础	9	8	※
chù	chu4	ㄔㄨˋ		触	16	20	※
chuā	chua1	ㄔㄨㄚ		欻	1	1	※
chuǎ	chua3	ㄔㄨㄚˇ		抓		1	
chuà	chua4	ㄔㄨㄚˋ		䫄		1	
chuāi	chuai1	ㄔㄨㄞ		揣	2	1	※
chuái	chuai2	ㄔㄨㄞˊ		膗	1	1	※
chuǎi	chuai3	ㄔㄨㄞˇ		揣	1	1	※
chuài	chuai4	ㄔㄨㄞˋ		揣	6	3	※
chuān	chuan1	ㄔㄨㄢ		川	3	4	※
chuán	chuan2	ㄔㄨㄢˊ		船	7	7	※
chuǎn	chuan3	ㄔㄨㄢˇ		喘	4	4	※
chuàn	chuan4	ㄔㄨㄢˋ		串	2	2	※
chuāng	chuang1	ㄔㄨㄤ		窗	4	5	※
chuáng	chuang2	ㄔㄨㄤˊ		床	3	6	※
chuǎng	chuang3	ㄔㄨㄤˇ		闯	1	2	※
chuàng	chuang4	ㄔㄨㄤˋ		创	3	5	※
chuī	chui1	ㄔㄨㄟ		吹	2	2	※
chuí	chui2	ㄔㄨㄟˊ		垂	9	14	※
chuǐ	chui3	ㄔㄨㄟˇ					‽
chuì	chui4	ㄔㄨㄟˋ		吹		2	
chūn	chun1	ㄔㄨㄣ		春	7	4	※
chún	chun2	ㄔㄨㄣˊ		纯	8	10	※
chǔn	chun3	ㄔㄨㄣˇ		蠢	1	2	※
chuō	chuo1	ㄔㄨㄛ		戳	3	1	※
chuò	chuo4	ㄔㄨㄛˋ		绰	10	12	※
cī	ci1	ㄘ		刺	8	8	※
cí	ci2	ㄘˊ		词	13	13	※
cǐ	ci3	ㄘˇ		此	5	5	※
cì	ci4	ㄘˋ		次	6	9	※
cōng	cong1	ㄘㄨㄥ		聪	11	13	※
cóng	cong2	ㄘㄨㄥˊ		从	7	7	※
cǒng	cong3	ㄘㄨㄥˇ		𧝮			‽
còng	cong4	ㄘㄨㄥˋ		謥		1	
cōu	cou1	ㄘㄡ		𢈾			‽
cóu	cou2	ㄘㄡˊ		𧡣			‽
cǒu	cou3	ㄘㄡˇ		㫶			‽
còu	cou4	ㄘㄡˋ		凑	3	4	※
cū	cu1	ㄘㄨ		粗	1	3	※
cú	cu2	ㄘㄨˊ		徂	2	2	※
cǔ	cu3	ㄘㄨˇ		𤛏			‽
cù	cu4	ㄘㄨˋ		促	13	20	※
cuān	cuan1	ㄘㄨㄢ		撺	4	4	※
cuán	cuan2	ㄘㄨㄢˊ		攒	2	3	※
cuǎn	cuan3	ㄘㄨㄢˇ					‽
cuàn	cuan4	ㄘㄨㄢˋ		窜	3	4	※
cuī	cui1	ㄘㄨㄟ		崔	7	9	※
cuǐ	cui3	ㄘㄨㄟˇ		璀	3	5	※
cuì	cui4	ㄘㄨㄟˋ		脆	12	16	※
cūn	cun1	ㄘㄨㄣ		村	4	3	※
cún	cun2	ㄘㄨㄣˊ		存	2	2	※
cǔn	cun3	ㄘㄨㄣˇ		忖	2	2	※
cùn	cun4	ㄘㄨㄣˋ		寸	2	2	※
