# 现代汉语音节汇总（含声调）
# 共有1503个音节。
# 说明
#
# 拼音来自本文件中其他文件统计汇总，但是：
# - lün ㄌㄩㄣ，nia ㄋㄧㄚ，shong ㄕㄨㄥ，diang ㄉㄧㄤ等未出现在词典或编码规范中的，本文件不列入；
# - gie，giao，duang等网络用语、缺少对应汉字的纯拟声词，本文件不列入。
# - nèng 缺少例字（“濘”读音为nìng，少量资料中也注音为nèng，存疑）
#
# 字段备注：
# 注音：一般，竖排中使用“ㄧ”，横排中使用“丨”。
# 例字：优先选择常用字，其中部分为多音字。
# 状态：※为两岸词典都收录此音（1276个）；‽为词典暂无此音，如biáng 𰻝、fiào 覅（106个）；其余为某一词典收录，如tēi 忒（121个）。
# 字数统计，根据网络数据汇总得到，仅供参考；
# - 字数1:《现代汉语词典》（第7版）；
# - 字数2:《重編國語辭典》（修訂本）。
#
# 拼音声调	拼音数字	注音	注音（横排）	例字	字数1	字数2	状态

nuǎn	nuan3	ㄋㄨㄢˇ		暖	1	3	※
nuàn	nuan4	ㄋㄨㄢˋ		𪋐			‽
nüè	nüe4	ㄋㄩㄝˋ		虐	2	3	※
nuí	nui2	ㄋㄨㄟˊ					‽
nún	nun2	ㄋㄨㄣˊ		黁	1	1	※
nuó	nuo2	ㄋㄨㄛˊ		挪	4	6	※
nuǒ	nuo3	ㄋㄨㄛˇ		㛂		1	
nuò	nuo4	ㄋㄨㄛˋ		诺	6	7	※
ō	o1	ㄛ		噢	2	3	※
ó	o2	ㄛˊ		哦	1	1	※
ǒ	o3	ㄛˇ		嚄	1	1	※
ò	o4	ㄛˋ		哦	1		
ōu	ou1	ㄡ		欧	8	11	※
óu	ou2	ㄡˊ		𫪘	1	2	※
ǒu	ou3	ㄡˇ		呕	7	6	※
òu	ou4	ㄡˋ		沤	3	2	※
ou	ou5	˙ㄡ					‽
pā	pa1	ㄆㄚ		趴	6	5	※
pá	pa2	ㄆㄚˊ		爬	9	6	※
pǎ	pa3	ㄆㄚˇ		𥩙			‽
pà	pa4	ㄆㄚˋ		怕	3	5	※
pa	pa5	˙ㄆㄚ		杷		2	
pāi	pai1	ㄆㄞ		拍	1	1	※
pái	pai2	ㄆㄞˊ		徘	7	6	※
pǎi	pai3	ㄆㄞˇ		迫	2	1	※
pài	pai4	ㄆㄞˋ		湃	4	3	※
pān	pan1	ㄆㄢ		潘	4	4	※
pán	pan2	ㄆㄢˊ		盘	10	15	※
pǎn	pan3	ㄆㄢˇ		𧺾			‽
pàn	pan4	ㄆㄢˋ		判	9	12	※
pāng	pang1	ㄆㄤ		乓	4	5	※
páng	pang2	ㄆㄤˊ		旁	9	13	※
pǎng	pang3	ㄆㄤˇ		耪	3		
pàng	pang4	ㄆㄤˋ		胖	1	1	※
pāo	pao1	ㄆㄠ		抛	3	3	※
páo	pao2	ㄆㄠˊ		袍	8	14	※
pǎo	pao3	ㄆㄠˇ		跑	1	1	※
pào	pao4	ㄆㄠˋ		泡	4	7	※
pēi	pei1	ㄆㄟ		胚	5	6	※
péi	pei2	ㄆㄟˊ		陪	6	8	※
pěi	pei3	ㄆㄟˇ		俖			‽
pèi	pei4	ㄆㄟˋ		沛	8	12	※
pēn	pen1	ㄆㄣ		喷	1	3	※
pén	pen2	ㄆㄣˊ		盆	2	2	※
pěn	pen3	ㄆㄣˇ		呠			‽
pèn	pen4	ㄆㄣˋ		喷	1	2	※
pēng	peng1	ㄆㄥ		烹	7	15	※
péng	peng2	ㄆㄥˊ		朋	17	19	※
pěng	peng3	ㄆㄥˇ		捧	1	1	※
pèng	peng4	ㄆㄥˋ		碰	2	3	※
pī	pi1	ㄆㄧ	ㄆ丨	批	18	17	※
pí	pi2	ㄆㄧˊ	ㄆ丨ˊ	皮	24	29	※
pǐ	pi3	ㄆㄧˇ	ㄆ丨ˇ	匹	12	11	※
pì	pi4	ㄆㄧˋ	ㄆ丨ˋ	屁	12	16	※
piā	pia1	ㄆㄧㄚ	ㄆ丨ㄚ	㕷		2	
piān	pian1	ㄆㄧㄢ	ㄆ丨ㄢ	偏	6	7	※
pián	pian2	ㄆㄧㄢˊ	ㄆ丨ㄢˊ	便	8	12	※
piǎn	pian3	ㄆㄧㄢˇ	ㄆ丨ㄢˇ	谝	2	1	※
piàn	pian4	ㄆㄧㄢˋ	ㄆ丨ㄢˋ	骗	2	4	※
piāo	piao1	ㄆㄧㄠ	ㄆ丨ㄠ	飘	6	9	※
piáo	piao2	ㄆㄧㄠˊ	ㄆ丨ㄠˊ	瓢	4	3	※
piǎo	piao3	ㄆㄧㄠˇ	ㄆ丨ㄠˇ	漂	5	11	※
piào	piao4	ㄆㄧㄠˋ	ㄆ丨ㄠˋ	票	6	7	※
piē	pie1	ㄆㄧㄝ	ㄆ丨ㄝ	撇	3	5	※
piě	pie3	ㄆㄧㄝˇ	ㄆ丨ㄝˇ	撇	3	2	※
piè	pie4	ㄆㄧㄝˋ	ㄆ丨ㄝˋ	嫳	1	1	※
pīn	pin1	ㄆㄧㄣ	ㄆ丨ㄣ	拼	2	2	※
pín	pin2	ㄆㄧㄣˊ	ㄆ丨ㄣˊ	贫	7	10	※
pǐn	pin3	ㄆㄧㄣˇ	ㄆ丨ㄣˇ	品	2	1	※
pìn	pin4	ㄆㄧㄣˋ	ㄆ丨ㄣˋ	聘	2	2	※
pīng	ping1	ㄆㄧㄥ	ㄆ丨ㄥ	乒	4	6	※
píng	ping2	ㄆㄧㄥˊ	ㄆ丨ㄥˊ	平	18	22	※
pǐng	ping3	ㄆㄧㄥˇ	ㄆ丨ㄥˇ				‽
pìng	ping4	ㄆㄧㄥˋ	ㄆ丨ㄥˋ	聘		1	
pō	po1	ㄆㄛ		坡	10	6	※
pó	po2	ㄆㄛˊ		婆	4	7	※
pǒ	po3	ㄆㄛˇ		叵	3	6	※
pò	po4	ㄆㄛˋ		破	6	16	※
po	po5	˙ㄆㄛ		桲	1		
pōu	pou1	ㄆㄡ		剖	1	1	※
póu	pou2	ㄆㄡˊ		抔	3	4	※
pǒu	pou3	ㄆㄡˇ		掊	1	5	※
pòu	pou4	ㄆㄡˋ					‽
pū	pu1	ㄆㄨ		扑	5	8	※
pú	pu2	ㄆㄨˊ		菩	14	19	※
pǔ	pu3	ㄆㄨˇ		圃	11	8	※
pù	pu4	ㄆㄨˋ		铺	5	5	※
q	q5	˙ㄑ		啐		1	
qī	qi1	ㄑㄧ	ㄑ丨	七	23	29	※
qí	qi2	ㄑㄧˊ	ㄑ丨ˊ	歧	46	49	※
qǐ	qi3	ㄑㄧˇ	ㄑ丨ˇ	乞	17	12	※
qì	qi4	ㄑㄧˋ	ㄑ丨ˋ	气	21	28	※
qiā	qia1	ㄑㄧㄚ	ㄑ丨ㄚ	掐	4	1	※
qiá	qia2	ㄑㄧㄚˊ	ㄑ丨ㄚˊ	拤	1		
qiǎ	qia3	ㄑㄧㄚˇ	ㄑ丨ㄚˇ	卡	1	2	※
qià	qia4	ㄑㄧㄚˋ	ㄑ丨ㄚˋ	恰	4	4	※
qiān	qian1	ㄑㄧㄢ	ㄑ丨ㄢ	千	23	25	※
qián	qian2	ㄑㄧㄢˊ	ㄑ丨ㄢˊ	前	14	21	※
qiǎn	qian3	ㄑㄧㄢˇ	ㄑ丨ㄢˇ	遣	6	5	※
qiàn	qian4	ㄑㄧㄢˋ	ㄑ丨ㄢˋ	欠	13	17	※
qiāng	qiang1	ㄑㄧㄤ	ㄑ丨ㄤ	枪	16	19	※
qiáng	qiang2	ㄑㄧㄤˊ	ㄑ丨ㄤˊ	墙	6	10	※
qiǎng	qiang3	ㄑㄧㄤˇ	ㄑ丨ㄤˇ	抢	5	7	※
qiàng	qiang4	ㄑㄧㄤˋ	ㄑ丨ㄤˋ	呛	5	5	※
qiāo	qiao1	ㄑㄧㄠ	ㄑ丨ㄠ	敲	11	15	※
qiáo	qiao2	ㄑㄧㄠˊ	ㄑ丨ㄠˊ	乔	15	18	※
qiǎo	qiao3	ㄑㄧㄠˇ	ㄑ丨ㄠˇ	巧	4	5	※
qiào	qiao4	ㄑㄧㄠˋ	ㄑ丨ㄠˋ	俏	13	13	※
qiē	qie1	ㄑㄧㄝ	ㄑ丨ㄝ	切	1	1	※
qié	qie2	ㄑㄧㄝˊ	ㄑ丨ㄝˊ	茄	2	2	※
qiě	qie3	ㄑㄧㄝˇ	ㄑ丨ㄝˇ	且	1	1	※
qiè	qie4	ㄑㄧㄝˋ	ㄑ丨ㄝˋ	怯	13	16	※
qīn	qin1	ㄑㄧㄣ	ㄑ丨ㄣ	钦	6	7	※
qín	qin2	ㄑㄧㄣˊ	ㄑ丨ㄣˊ	芹	18	17	※
qǐn	qin3	ㄑㄧㄣˇ	ㄑ丨ㄣˇ	寝	3	3	※
qìn	qin4	ㄑㄧㄣˋ	ㄑ丨ㄣˋ	沁	3	4	※
qīng	qing1	ㄑㄧㄥ	ㄑ丨ㄥ	青	9	13	※
qíng	qing2	ㄑㄧㄥˊ	ㄑ丨ㄥˊ	情	8	8	※
qǐng	qing3	ㄑㄧㄥˇ	ㄑ丨ㄥˇ	顷	5	3	※
qìng	qing4	ㄑㄧㄥˋ	ㄑ丨ㄥˋ	庆	9	6	※
qiōng	qiong1	ㄑㄩㄥ		穹		3	
qióng	qiong2	ㄑㄩㄥˊ		穷	11	15	※
qiǒng	qiong3	ㄑㄩㄥˇ					‽
qiòng	qiong4	ㄑㄩㄥˋ		𢮍			‽
qiū	qiu1	ㄑㄧㄡ	ㄑ丨ㄡ	秋	11	12	※
qiú	qiu2	ㄑㄧㄡˊ	ㄑ丨ㄡˊ	囚	20	26	※
qiǔ	qiu3	ㄑㄧㄡˇ	ㄑ丨ㄡˇ	糗	1	1	※
qiù	qiu4	ㄑㄧㄡˋ	ㄑ丨ㄡˋ	䟬			‽
qū	qu1	ㄑㄩ		岖	25	20	※
qú	qu2	ㄑㄩˊ		渠	19	19	※
qǔ	qu3	ㄑㄩˇ		取	6	5	※
qù	qu4	ㄑㄩˋ		去	4	7	※
qu	qu5	˙ㄑㄩ		戌	1		
quān	quan1	ㄑㄩㄢ		圈	5	4	※
quán	quan2	ㄑㄩㄢˊ		权	19	21	※
quǎn	quan3	ㄑㄩㄢˇ		犬	3	4	※
quàn	quan4	ㄑㄩㄢˋ		劝	2	3	※
quē	que1	ㄑㄩㄝ		缺	3	3	※
qué	que2	ㄑㄩㄝˊ		瘸	1	1	※
què	que4	ㄑㄩㄝˋ		却	12	17	※
qūn	qun1	ㄑㄩㄣ		逡	2	2	※
qún	qun2	ㄑㄩㄣˊ		群	4	3	※
qǔn	qun3	ㄑㄩㄣˇ		𦃢			‽
qùn	qun4	ㄑㄩㄣˋ					‽
rán	ran2	ㄖㄢˊ		然	4	6	※
rǎn	ran3	ㄖㄢˇ		冉	4	5	※
ràn	ran4	ㄖㄢˋ		𥣹			‽
rāng	rang1	ㄖㄤ		嚷	1	1	※
ráng	rang2	ㄖㄤˊ		瓤	8	9	※
rǎng	rang3	ㄖㄤˇ		壤	3	6	※
ràng	rang4	ㄖㄤˋ		让	2	3	※
ráo	rao2	ㄖㄠˊ		饶	4	5	※
rǎo	rao3	ㄖㄠˇ		扰	2	2	※
rào	rao4	ㄖㄠˋ		绕	1	2	※
rě	re3	ㄖㄜˇ		惹	3	3	※
rè	re4	ㄖㄜˋ		热	1	2	※
rén	ren2	ㄖㄣˊ		人	4	8	※
rěn	ren3	ㄖㄣˇ		忍	3	5	※
rèn	ren4	ㄖㄣˋ		刃	14	17	※
rēng	reng1	ㄖㄥ		扔	1	1	※
réng	reng2	ㄖㄥˊ		仍	2	4	※
rěng	reng3	ㄖㄥˇ		扔		1	
rèng	reng4	ㄖㄥˋ		扔		1	
rì	ri4	ㄖˋ		日	2	3	※
róng	rong2	ㄖㄨㄥˊ		容	16	22	※
rǒng	rong3	ㄖㄨㄥˇ		冗	2	3	※
ròng	rong4	ㄖㄨㄥˋ		穃			‽
róu	rou2	ㄖㄡˊ		柔	8	8	※
rǒu	rou3	ㄖㄡˇ		糅		1	
ròu	rou4	ㄖㄡˋ		肉	1	1	※
rú	ru2	ㄖㄨˊ		如	12	23	※
rǔ	ru3	ㄖㄨˇ		汝	5	5	※
rù	ru4	ㄖㄨˋ		入	6	11	※
ruá	rua2	ㄖㄨㄚˊ		挼	1		
ruán	ruan2	ㄖㄨㄢˊ		堧	1	2	※
ruǎn	ruan3	ㄖㄨㄢˇ		软	6	6	※
ruàn	ruan4	ㄖㄨㄢˋ		𨨰			‽
ruí	rui2	ㄖㄨㄟˊ		蕤	2	2	※
ruǐ	rui3	ㄖㄨㄟˇ		蕊	3	4	※
ruì	rui4	ㄖㄨㄟˋ		锐	8	9	※
rún	run2	ㄖㄨㄣˊ		𥆧	1	1	※
rǔn	run3	ㄖㄨㄣˇ		𠷀			‽
rùn	run4	ㄖㄨㄣˋ		润	2	2	※
ruó	ruo2	ㄖㄨㄛˊ		挼	1		
ruò	ruo4	ㄖㄨㄛˋ		弱	8	10	※
sā	sa1	ㄙㄚ		撒	3	3	※
sǎ	sa3	ㄙㄚˇ		洒	4	4	※
sà	sa4	ㄙㄚˋ		萨	5	8	※
sa	sa5	˙ㄙㄚ		挲		1	
sāi	sai1	ㄙㄞ		腮	7	7	※
sái	sai2	ㄙㄞˊ		㘔		1	
sǎi	sai3	ㄙㄞˇ		嗮			‽
sài	sai4	ㄙㄞˋ		赛	2	3	※
sān	san1	ㄙㄢ		三	4	6	※
sǎn	san3	ㄙㄢˇ		伞	4	6	※
sàn	san4	ㄙㄢˋ		散	1	2	※
sāng	sang1	ㄙㄤ		桑	2	2	※
sǎng	sang3	ㄙㄤˇ		嗓	4	4	※
sàng	sang4	ㄙㄤˋ		丧	1	1	※
sāo	sao1	ㄙㄠ		搔	6	9	※
sǎo	sao3	ㄙㄠˇ		嫂	3	2	※
sào	sao4	ㄙㄠˋ		扫	6	3	※
sē	se1	ㄙㄜ		閪			‽
sè	se4	ㄙㄜˋ		涩	8	13	※
sēi	sei1	ㄙㄟ		塞		1	
sēn	sen1	ㄙㄣ		森	1	2	※
sěn	sen3	ㄙㄣˇ		𩕌			‽
sēng	seng1	ㄙㄥ		僧	2	2	※
sèng	seng4	ㄙㄥˋ		𡬙			‽
shā	sha1	ㄕㄚ		杀	14	18	※
shá	sha2	ㄕㄚˊ		啥	1	1	※
shǎ	sha3	ㄕㄚˇ		傻	1	1	※
shà	sha4	ㄕㄚˋ		霎	8	13	※
sha	sha5	˙ㄕㄚ		挲		1	
shāi	shai1	ㄕㄞ		筛	2	1	※
shǎi	shai3	ㄕㄞˇ		色	1	2	※
shài	shai4	ㄕㄞˋ		晒	1	3	※
shān	shan1	ㄕㄢ		山	19	25	※
shán	shan2	ㄕㄢˊ		𧨾			‽
shǎn	shan3	ㄕㄢˇ		闪	5	4	※
shàn	shan4	ㄕㄢˋ		善	26	28	※
shāng	shang1	ㄕㄤ		商	7	9	※
shǎng	shang3	ㄕㄤˇ		晌	5	3	※
shàng	shang4	ㄕㄤˋ		尚	3	3	※
shang	shang5	˙ㄕㄤ		裳	2		
shāo	shao1	ㄕㄠ		烧	8	14	※
sháo	shao2	ㄕㄠˊ		勺	7	5	※
shǎo	shao3	ㄕㄠˇ		少	1	1	※
shào	shao4	ㄕㄠˋ		绍	11	11	※
shē	she1	ㄕㄜ		奢	6	4	※
shé	she2	ㄕㄜˊ		舌	6	8	※
shě	she3	ㄕㄜˇ		舍	1	2	※
shè	she4	ㄕㄜˋ		设	13	20	※
shéi	shei2	ㄕㄟˊ		谁	1	1	※
shēn	shen1	ㄕㄣ		深	20	22	※
shén	shen2	ㄕㄣˊ		神	4	3	※
shěn	shen3	ㄕㄣˇ		审	8	11	※
shèn	shen4	ㄕㄣˋ		肾	11	9	※
shēng	sheng1	ㄕㄥ		升	12	11	※
shéng	sheng2	ㄕㄥˊ		绳	2	2	※
shěng	sheng3	ㄕㄥˇ		省	2	3	※
shèng	sheng4	ㄕㄥˋ		圣	7	8	※
shī	shi1	ㄕ		诗	19	20	※
shí	shi2	ㄕˊ		十	18	18	※
shǐ	shi3	ㄕˇ		史	8	10	※
shì	shi4	ㄕˋ		士	43	48	※
shi	shi5	˙ㄕ		匙	2	1	※
shōu	shou1	ㄕㄡ		收	1	1	※
shóu	shou2	ㄕㄡˊ		熟	1	1	※
shǒu	shou3	ㄕㄡˇ		手	4	5	※
shòu	shou4	ㄕㄡˋ		寿	8	9	※
shū	shu1	ㄕㄨ		书	20	21	※
shú	shu2	ㄕㄨˊ		赎	6	10	※
shǔ	shu3	ㄕㄨˇ		暑	10	11	※
shù	shu4	ㄕㄨˋ		束	18	24	※
shuā	shua1	ㄕㄨㄚ		刷	2	1	※
shuǎ	shua3	ㄕㄨㄚˇ		耍	1	1	※
shuà	shua4	ㄕㄨㄚˋ		刷	1	1	※
shuāi	shuai1	ㄕㄨㄞ		摔	2	2	※
shuǎi	shuai3	ㄕㄨㄞˇ		甩	1	1	※
shuài	shuai4	ㄕㄨㄞˋ		帅	3	3	※
shuān	shuan1	ㄕㄨㄢ		拴	3	3	※
shuàn	shuan4	ㄕㄨㄢˋ		涮	2	3	※
shuāng	shuang1	ㄕㄨㄤ		双	10	9	※
shuáng	shuang2	ㄕㄨㄤˊ					‽
shuǎng	shuang3	ㄕㄨㄤˇ		爽	2	2	※
shuàng	shuang4	ㄕㄨㄤˋ		雙		1	
shuī	shui1	ㄕㄨㄟ					‽
shuí	shui2	ㄕㄨㄟˊ		谁	1	1	※
shuǐ	shui3	ㄕㄨㄟˇ		水	1	1	※
shuì	shui4	ㄕㄨㄟˋ		税	4	6	※
shǔn	shun3	ㄕㄨㄣˇ		吮	2	3	※
shùn	shun4	ㄕㄨㄣˋ		顺	4	7	※
shuō	shuo1	ㄕㄨㄛ		说	1	1	※
shuò	shuo4	ㄕㄨㄛˋ		烁	10	19	※
sī	si1	ㄙ		司	24	20	※
sǐ	si3	ㄙˇ		死	1	1	※
sì	si4	ㄙˋ		巳	21	26	※
sōng	song1	ㄙㄨㄥ		松	8	10	※
sóng	song2	ㄙㄨㄥˊ		𪨊	1	2	※
sǒng	song3	ㄙㄨㄥˇ		耸	5	8	※
sòng	song4	ㄙㄨㄥˋ		讼	6	5	※
sōu	sou1	ㄙㄡ		搜	10	11	※
sǒu	sou3	ㄙㄡˇ		叟	5	6	※
sòu	sou4	ㄙㄡˋ		嗽	2	4	※
sū	su1	ㄙㄨ		苏	5	7	※
sú	su2	ㄙㄨˊ		俗	1	1	※
sǔ	su3	ㄙㄨˇ		𣷶			‽
sù	su4	ㄙㄨˋ		诉	25	33	※
suān	suan1	ㄙㄨㄢ		酸	2	3	※
suǎn	suan3	ㄙㄨㄢˇ		匴		2	
suàn	suan4	ㄙㄨㄢˋ		蒜	3	3	※
suī	sui1	ㄙㄨㄟ		虽	6	6	※
suí	sui2	ㄙㄨㄟˊ		隋	4	5	※
suǐ	sui3	ㄙㄨㄟˇ		髓	1	2	※
suì	sui4	ㄙㄨㄟˋ		岁	16	18	※
sūn	sun1	ㄙㄨㄣ		孙	4	6	※
sǔn	sun3	ㄙㄨㄣˇ		损	5	4	※
sùn	sun4	ㄙㄨㄣˋ		噀		5	
suō	suo1	ㄙㄨㄛ		梭	12	14	※
suó	suo2	ㄙㄨㄛˊ		索		1	
suǒ	suo3	ㄙㄨㄛˇ		所	10	7	※
suò	suo4	ㄙㄨㄛˋ		些		1	
tā	ta1	ㄊㄚ		他	12	12	※
tǎ	ta3	ㄊㄚˇ		塔	5	3	※
tà	ta4	ㄊㄚˋ		蹋	15	25	※
tāi	tai1	ㄊㄞ		胎	3	3	※
tái	tai2	ㄊㄞˊ		抬	11	14	※
tǎi	tai3	ㄊㄞˇ		呔	1		
tài	tai4	ㄊㄞˋ		太	7	8	※
tai	tai5	˙ㄊㄞ		呔		1	
tān	tan1	ㄊㄢ		贪	7	9	※
tán	tan2	ㄊㄢˊ		坛	20	23	※
tǎn	tan3	ㄊㄢˇ		坦	7	10	※
tàn	tan4	ㄊㄢˋ		叹	5	9	※
tāng	tang1	ㄊㄤ		汤	9	4	※
táng	tang2	ㄊㄤˊ		唐	17	17	※
tǎng	tang3	ㄊㄤˇ		淌	8	11	※
tàng	tang4	ㄊㄤˋ		烫	2	2	※
tāo	tao1	ㄊㄠ		涛	10	12	※
táo	tao2	ㄊㄠˊ		逃	16	16	※
tǎo	tao3	ㄊㄠˇ		讨	2	1	※
tào	tao4	ㄊㄠˋ		套	1	1	※
tao	tao5	˙ㄊㄠ		萄		1	
tè	te4	ㄊㄜˋ		特	7	8	※
te	te5	˙ㄊㄜ		脦	1		
tēi	tei1	ㄊㄟ		忒	1		
tēng	teng1	ㄊㄥ		熥	2		
téng	teng2	ㄊㄥˊ		疼	8	9	※
tèng	teng4	ㄊㄥˋ		霯			‽
tī	ti1	ㄊㄧ	ㄊ丨	梯	8	3	※
tí	ti2	ㄊㄧˊ	ㄊ丨ˊ	啼	15	19	※
tǐ	ti3	ㄊㄧˇ	ㄊ丨ˇ	体	1	1	※
tì	ti4	ㄊㄧˋ	ㄊ丨ˋ	屉	17	21	※
tiān	tian1	ㄊㄧㄢ	ㄊ丨ㄢ	天	3	3	※
tián	tian2	ㄊㄧㄢˊ	ㄊ丨ㄢˊ	田	14	12	※
tiǎn	tian3	ㄊㄧㄢˇ	ㄊ丨ㄢˇ	舔	11	8	※
tiàn	tian4	ㄊㄧㄢˋ	ㄊ丨ㄢˋ	掭	2	4	※
tiāo	tiao1	ㄊㄧㄠ	ㄊ丨ㄠ	挑	3	5	※
tiáo	tiao2	ㄊㄧㄠˊ	ㄊ丨ㄠˊ	条	11	12	※
tiǎo	tiao3	ㄊㄧㄠˇ	ㄊ丨ㄠˇ	挑	5	6	※
tiào	tiao4	ㄊㄧㄠˋ	ㄊ丨ㄠˋ	跳	3	5	※
tiē	tie1	ㄊㄧㄝ	ㄊ丨ㄝ	贴	4	4	※
tié	tie2	ㄊㄧㄝˊ	ㄊ丨ㄝˊ	䩞			‽
tiě	tie3	ㄊㄧㄝˇ	ㄊ丨ㄝˇ	铁	2	3	※
tiè	tie4	ㄊㄧㄝˋ	ㄊ丨ㄝˋ	帖	2	2	※
tīng	ting1	ㄊㄧㄥ	ㄊ丨ㄥ	听	7	8	※
tíng	ting2	ㄊㄧㄥˊ	ㄊ丨ㄥˊ	廷	11	12	※
tǐng	ting3	ㄊㄧㄥˇ	ㄊ丨ㄥˇ	挺	11	10	※
tìng	ting4	ㄊㄧㄥˋ	ㄊ丨ㄥˋ	梃	1	1	※
tōng	tong1	ㄊㄨㄥ		通	3	3	※
tóng	tong2	ㄊㄨㄥˊ		彤	27	25	※
tǒng	tong3	ㄊㄨㄥˇ		统	6	4	※
tòng	tong4	ㄊㄨㄥˋ		痛	4	4	※
tōu	tou1	ㄊㄡ		偷	1	3	※
tóu	tou2	ㄊㄡˊ		头	3	5	※
tǒu	tou3	ㄊㄡˇ		黈	2	1	※
tòu	tou4	ㄊㄡˋ		透	1	1	※
tou	tou5	˙ㄊㄡ		頭		1	
tū	tu1	ㄊㄨ		突	5	5	※
tú	tu2	ㄊㄨˊ		图	13	22	※
tǔ	tu3	ㄊㄨˇ		土	3	4	※
tù	tu4	ㄊㄨˋ		兔	4	4	※
tuān	tuan1	ㄊㄨㄢ		湍	3	2	※
tuán	tuan2	ㄊㄨㄢˊ		团	3	7	※
tuǎn	tuan3	ㄊㄨㄢˇ		疃	1	2	※
tuàn	tuan4	ㄊㄨㄢˋ		彖	1	2	※
tuī	tui1	ㄊㄨㄟ		推	3	2	※
tuí	tui2	ㄊㄨㄟˊ		颓	4	4	※
tuǐ	tui3	ㄊㄨㄟˇ		腿	1	2	※
tuì	tui4	ㄊㄨㄟˋ		退	5	6	※
tūn	tun1	ㄊㄨㄣ		吞	3	5	※
tún	tun2	ㄊㄨㄣˊ		豚	8	10	※
tǔn	tun3	ㄊㄨㄣˇ		氽	1	1	※
tùn	tun4	ㄊㄨㄣˋ		褪	1	1	※
tuō	tuo1	ㄊㄨㄛ		拖	9	13	※
tuó	tuo2	ㄊㄨㄛˊ		驼	18	19	※
tuǒ	tuo3	ㄊㄨㄛˇ		妥	4	4	※
tuò	tuo4	ㄊㄨㄛˋ		唾	6	7	※
wā	wa1	ㄨㄚ		挖	11	11	※
wá	wa2	ㄨㄚˊ		娃	1	2	※
wǎ	wa3	ㄨㄚˇ		瓦	2	2	※
wà	wa4	ㄨㄚˋ		袜	3	7	※
wa	wa5	˙ㄨㄚ		哇	1	1	※
wāi	wai1	ㄨㄞ		歪	3	1	※
wǎi	wai3	ㄨㄞˇ		崴	2	1	※
wài	wai4	ㄨㄞˋ		外	1	1	※
wān	wan1	ㄨㄢ		弯	8	7	※
wán	wan2	ㄨㄢˊ		丸	10	11	※
wǎn	wan3	ㄨㄢˇ		宛	14	22	※
wàn	wan4	ㄨㄢˋ		腕	6	10	※
wāng	wang1	ㄨㄤ		汪	3	3	※
wáng	wang2	ㄨㄤˊ		亡	2	3	※
wǎng	wang3	ㄨㄤˇ		网	8	10	※
wàng	wang4	ㄨㄤˋ		妄	5	6	※
wēi	wei1	ㄨㄟ		危	16	16	※
wéi	wei2	ㄨㄟˊ		违	22	22	※
wěi	wei3	ㄨㄟˇ		伟	28	27	※
wèi	wei4	ㄨㄟˋ		卫	25	26	※
wēn	wen1	ㄨㄣ		温	6	5	※
wén	wen2	ㄨㄣˊ		文	10	7	※
wěn	wen3	ㄨㄣˇ		吻	5	3	※
wèn	wen4	ㄨㄣˋ		问	5	10	※
wēng	weng1	ㄨㄥ		翁	7	2	※
wěng	weng3	ㄨㄥˇ		蓊	3	4	※
wèng	weng4	ㄨㄥˋ		瓮	3	4	※
wō	wo1	ㄨㄛ		窝	8	6	※
wǒ	wo3	ㄨㄛˇ		我	2	4	※
wò	wo4	ㄨㄛˋ		沃	11	14	※
wū	wu1	ㄨ		污	13	16	※
wú	wu2	ㄨˊ		芜	16	18	※
wǔ	wu3	ㄨˇ		五	20	22	※
wù	wu4	ㄨˋ		勿	26	31	※
xī	xi1	ㄒㄧ	ㄒ丨	西	82	71	※
xí	xi2	ㄒㄧˊ	ㄒ丨ˊ	习	13	22	※
xǐ	xi3	ㄒㄧˇ	ㄒ丨ˇ	徙	16	16	※
xì	xi4	ㄒㄧˋ	ㄒ丨ˋ	细	19	40	※
xiā	xia1	ㄒㄧㄚ	ㄒ丨ㄚ	瞎	4	4	※
xiá	xia2	ㄒㄧㄚˊ	ㄒ丨ㄚˊ	匣	16	25	※
xiǎ	xia3	ㄒㄧㄚˇ	ㄒ丨ㄚˇ	閕			‽
xià	xia4	ㄒㄧㄚˋ	ㄒ丨ㄚˋ	下	6	9	※
xiān	xian1	ㄒㄧㄢ	ㄒ丨ㄢ	先	18	24	※
xián	xian2	ㄒㄧㄢˊ	ㄒ丨ㄢˊ	闲	17	20	※
xiǎn	xian3	ㄒㄧㄢˇ	ㄒ丨ㄢˇ	显	21	24	※
xiàn	xian4	ㄒㄧㄢˋ	ㄒ丨ㄢˋ	县	19	21	※
xiāng	xiang1	ㄒㄧㄤ	ㄒ丨ㄤ	香	14	17	※
xiáng	xiang2	ㄒㄧㄤˊ	ㄒ丨ㄤˊ	详	5	7	※
xiǎng	xiang3	ㄒㄧㄤˇ	ㄒ丨ㄤˇ	享	7	7	※
xiàng	xiang4	ㄒㄧㄤˋ	ㄒ丨ㄤˋ	向	10	14	※
xiāo	xiao1	ㄒㄧㄠ	ㄒ丨ㄠ	消	25	32	※
xiáo	xiao2	ㄒㄧㄠˊ	ㄒ丨ㄠˊ	淆	4	5	※
xiǎo	xiao3	ㄒㄧㄠˇ	ㄒ丨ㄠˇ	小	5	5	※
