# 现代汉语音节汇总（无声调）
# 共有426个音节。
#
# 说明：汇总自“汉语音节统计汇总”，相关字段可参考其中说明，标记☆为399个基础音节（仅供参考），例子2标注403个音节；
# gue、nui暂未找到例字，暂不列入；
# 声母韵母说明：
# - 声母、韵母以《现代汉语拼音方案》为准，声母21个（并外加一个“零声母”，而y、w不视为声母）、韵母35个（并外加儿化音er和ê）；
# - 对iu、ui、un缩写（前有声母）使用原形iou、uei、uen；
# - 对i、u、ü行的也使用原形；
# - 对特殊音节hm、hng、m、n、ng以及q、yai、yo不标注声母、韵母。
#
# 拼音	注音	声母	韵母	例字	例子2	字数1	字数2	状态	标记

qiao	ㄑㄧㄠ	q	iao	敲	悄	39	46	※	☆
qie	ㄑㄧㄝ	q	ie	切	切	16	19	※	☆
qin	ㄑㄧㄣ	q	in	亲	亲	30	30	※	☆
qing	ㄑㄧㄥ	q	ing	青	青	31	27	※	☆
qiong	ㄑㄩㄥ	q	iong	穷	穷	11	16	※	☆
qiu	ㄑㄧㄡ	q	iou	秋	秋	32	39	※	☆
qu	ㄑㄩ	q	ü	区	区	53	47	※	☆
quan	ㄑㄩㄢ	q	üan	圈	全	29	31	※	☆
que	ㄑㄩㄝ	q	üe	缺	缺	15	20	※	☆
qun	ㄑㄩㄣ	q	ün	群	群	6	5	※	☆
ran	ㄖㄢ	r	an	然	然	8	11	※	☆
rang	ㄖㄤ	r	ang	嚷	让	12	15	※	☆
rao	ㄖㄠ	r	ao	饶	饶	6	8	※	☆
re	ㄖㄜ	r	e	热	热	4	5	※	☆
ren	ㄖㄣ	r	en	人	人	20	27	※	☆
reng	ㄖㄥ	r	eng	扔	扔	3	4	※	☆
ri	ㄖ	r	i	日	日	2	3	※	☆
rong	ㄖㄨㄥ	r	ong	容	荣	18	24	※	☆
rou	ㄖㄡ	r	ou	柔	肉	9	10	※	☆
ru	ㄖㄨ	r	u	如	如	23	36	※	☆
rua	ㄖㄨㄚ	r	ua	挼		1			
ruan	ㄖㄨㄢ	r	uan	软	软	7	8	※	☆
rui	ㄖㄨㄟ	r	uei	锐	锐	13	15	※	☆
run	ㄖㄨㄣ	r	uen	润	润	3	3	※	☆
ruo	ㄖㄨㄛ	r	uo	弱	弱	9	10	※	☆
sa	ㄙㄚ	s	a	撒	洒	11	15	※	☆
sai	ㄙㄞ	s	ai	赛	赛	8	9	※	☆
san	ㄙㄢ	s	an	三	三	8	12	※	☆
sang	ㄙㄤ	s	ang	桑	桑	6	6	※	☆
sao	ㄙㄠ	s	ao	搔	扫	13	12	※	☆
se	ㄙㄜ	s	e	涩	色	8	13	※	☆
sei	ㄙㄟ	s	ei	塞			1		
sen	ㄙㄣ	s	en	森	森	1	2	※	☆
seng	ㄙㄥ	s	eng	僧	僧	2	2	※	☆
sha	ㄕㄚ	sh	a	杀	杀	22	32	※	☆
shai	ㄕㄞ	sh	ai	筛	晒	4	6	※	☆
shan	ㄕㄢ	sh	an	山	山	47	54	※	☆
shang	ㄕㄤ	sh	ang	商	伤	15	14	※	☆
shao	ㄕㄠ	sh	ao	烧	烧	24	28	※	☆
she	ㄕㄜ	sh	e	奢	舌	25	33	※	☆
shei	ㄕㄟ	sh	ei	谁		1	1	※	☆
shen	ㄕㄣ	sh	en	深	深	42	44	※	☆
sheng	ㄕㄥ	sh	eng	升	生	22	23	※	☆
shi	ㄕ	sh	i	诗	师	89	94	※	☆
shou	ㄕㄡ	sh	ou	收	手	14	15	※	☆
shu	ㄕㄨ	sh	u	书	书	53	63	※	☆
shua	ㄕㄨㄚ	sh	ua	刷	刷	3	2	※	☆
shuai	ㄕㄨㄞ	sh	uai	衰	摔	6	6	※	☆
shuan	ㄕㄨㄢ	sh	uan	闩	拴	5	6	※	☆
shuang	ㄕㄨㄤ	sh	uang	双	爽	12	11	※	☆
shui	ㄕㄨㄟ	sh	uei	水	水	6	8	※	☆
shun	ㄕㄨㄣ	sh	uen	顺	顺	6	10	※	☆
shuo	ㄕㄨㄛ	sh	uo	说	说	11	20	※	☆
si	ㄙ	s	i	思	思	46	46	※	☆
song	ㄙㄨㄥ	s	ong	松	松	20	24	※	☆
sou	ㄙㄡ	s	ou	搜	搜	16	19	※	☆
su	ㄙㄨ	s	u	苏	苏	31	41	※	☆
suan	ㄙㄨㄢ	s	uan	酸	算	5	8	※	☆
sui	ㄙㄨㄟ	s	uei	虽	岁	26	28	※	☆
sun	ㄙㄨㄣ	s	uen	孙	孙	9	14	※	☆
suo	ㄙㄨㄛ	s	uo	梭	所	22	22	※	☆
ta	ㄊㄚ	t	a	他	它	31	38	※	☆
tai	ㄊㄞ	t	ai	胎	台	20	25	※	☆
tan	ㄊㄢ	t	an	贪	贪	39	50	※	☆
tang	ㄊㄤ	t	ang	汤	糖	34	33	※	☆
tao	ㄊㄠ	t	ao	涛	桃	28	29	※	☆
te	ㄊㄜ	t	e	特	特	8	8	※	☆
tei	ㄊㄟ	t	ei	忒		1			
teng	ㄊㄥ	t	eng	疼	疼	10	9	※	☆
ti	ㄊㄧ	t	i	梯	题	39	44	※	☆
tian	ㄊㄧㄢ	t	ian	天	天	30	27	※	☆
tiao	ㄊㄧㄠ	t	iao	挑	条	21	25	※	☆
tie	ㄊㄧㄝ	t	ie	贴	铁	6	7	※	☆
ting	ㄊㄧㄥ	t	ing	听	听	29	30	※	☆
tong	ㄊㄨㄥ	t	ong	通	通	37	35	※	☆
tou	ㄊㄡ	t	ou	偷	头	7	10	※	☆
tu	ㄊㄨ	t	u	突	土	23	32	※	☆
tuan	ㄊㄨㄢ	t	uan	团	团	8	13	※	☆
tui	ㄊㄨㄟ	t	uei	推	推	13	14	※	☆
tun	ㄊㄨㄣ	t	uen	吞	吞	13	17	※	☆
tuo	ㄊㄨㄛ	t	uo	拖	脱	37	41	※	☆
wa	ㄨㄚ		ua	挖	挖	16	19	※	☆
wai	ㄨㄞ		uai	歪	外	6	2	※	☆
wan	ㄨㄢ		uan	弯	完	38	47	※	☆
wang	ㄨㄤ		uang	汪	王	17	20	※	☆
wei	ㄨㄟ		uei	危	威	88	85	※	☆
wen	ㄨㄣ		uen	温	温	25	23	※	☆
weng	ㄨㄥ		ueng	翁	翁	12	10	※	☆
wo	ㄨㄛ		uo	窝	我	21	23	※	☆
wu	ㄨ		u	污	无	71	81	※	☆
xi	ㄒㄧ	x	i	西	西	130	147	※	☆
xia	ㄒㄧㄚ	x	ia	虾	下	26	37	※	☆
xian	ㄒㄧㄢ	x	ian	先	先	74	85	※	☆
xiang	ㄒㄧㄤ	x	iang	香	香	35	43	※	☆
xiao	ㄒㄧㄠ	x	iao	消	小	44	52	※	☆
xie	ㄒㄧㄝ	x	ie	些	写	59	62	※	☆
xin	ㄒㄧㄣ	x	in	心	心	23	25	※	☆
xing	ㄒㄧㄥ	x	ing	星	星	33	32	※	☆
xiong	ㄒㄩㄥ	x	iong	兄	胸	12	14	※	☆
xiu	ㄒㄧㄡ	x	iou	休	休	25	24	※	☆
xu	ㄒㄩ	x	ü	需	须	56	71	※	☆
xuan	ㄒㄩㄢ	x	üan	宣	宣	44	45	※	☆
xue	ㄒㄩㄝ	x	üe	靴	学	14	18	※	☆
xun	ㄒㄩㄣ	x	ün	勋	寻	42	49	※	☆
ya	ㄧㄚ		ia	呀	压	34	37	※	☆
yai	ㄧㄞ	-	-	厓			4		
yan	ㄧㄢ		ian	烟	烟	91	115	※	☆
yang	ㄧㄤ		iang	央	央	32	37	※	☆
yao	ㄧㄠ		iao	腰	要	48	73	※	☆
ye	ㄧㄝ		ie	爷	业	28	43	※	☆
yi	ㄧ		i	一	一	165	205	※	☆
yin	ㄧㄣ		in	音	音	59	65	※	☆
ying	ㄧㄥ		ing	英	英	48	48	※	☆
yo	ㄧㄛ	-	-	唷		3	1	※	☆
yong	ㄩㄥ		iong	拥	用	35	39	※	☆
you	ㄧㄡ		iou	优	优	56	68	※	☆
yu	ㄩ		ü	于	雨	128	164	※	☆
yuan	ㄩㄢ		üan	渊	元	46	49	※	☆
yue	ㄩㄝ		üe	约	月	31	33	※	☆
yun	ㄩㄣ		ün	云	云	36	44	※	☆
za	ㄗㄚ	z	a	匝	杂	9	14	※	☆
zai	ㄗㄞ	z	ai	栽	载	11	12	※	☆
zan	ㄗㄢ	z	an	赞	咱	16	24	※	☆
zang	ㄗㄤ	z	ang	脏	脏	8	11	※	☆
zao	ㄗㄠ	z	ao	遭	早	20	25	※	☆
ze	ㄗㄜ	z	e	则	责	17	28	※	☆
zei	ㄗㄟ	z	ei	贼	贼	2	1	※	☆
zen	ㄗㄣ	z	en	怎	怎	2	3	※	☆
zeng	ㄗㄥ	z	eng	增	增	12	9	※	☆
zha	ㄓㄚ	zh	a	扎	扎	41	44	※	☆
zhai	ㄓㄞ	zh	ai	摘	摘	15	14	※	☆
zhan	ㄓㄢ	zh	an	沾	占	31	43	※	☆
zhang	ㄓㄤ	zh	ang	章	张	27	28	※	☆
zhao	ㄓㄠ	zh	ao	招	照	23	26	※	☆
zhe	ㄓㄜ	zh	e	遮	这	28	35	※	☆
